FOODID;FOODNAME;LANG
100;SECALE CEREALE;TX
103;SECALE CEREALE;TX
110;TRITICUM SPP.;TX
111;TRITICUM SPP.;TX
112;TRITICUM SPP.;TX
113;TRITICUM SPP.;TX
114;TRITICUM SPP.;TX
115;TRITICUM SPP.;TX
116;TRITICUM SPP.;TX
124;TRITICUM SPP.;TX
142;TRITICUM SPP.;TX
150;HORDEUM VULGARE;TX
151;HORDEUM VULGARE;TX
152;HORDEUM VULGARE;TX
153;AVENA SATIVA;TX
156;ORYZA SATIVA;TX
158;ORYZA SATIVA;TX
160;PANICUM MILIACEUM;TX
161;FAGOPYRUM ESCULENTUM;TX
162;SOLANUM TUBEROSUM;TX
167;ZEA MAYS;TX
170;AVENA SATIVA;TX
175;TRITICUM SPP.;TX
176;SECALE CEREALE;TX
182;ORYZA SATIVA;TX
183;ORYZA SATIVA;TX
202;SOLANUM TUBEROSUM;TX
204;SOLANUM TUBEROSUM;TX
205;SOLANUM TUBEROSUM;TX
207;SOLANUM TUBEROSUM;TX
300;DAUCUS CAROTA;TX
302;DAUCUS CAROTA;TX
303;BRASSICA NAPUS VAR. NAPOBRASSICA;TX
304;BRASSICA RAPA;TX
305;BETA VULGARIS;TX
307;BETA VULGARIS;TX
308;RAPHANUS SATIVUS VAR. SATIVUS;TX
309;PASTINACA SATIVA;TX
310;HELIANTHUS TUBEROSUS;TX
311;APIUM GRAVEOLENS VAR. RAPACEUM;TX
312;SCORZONERA HISPANICA;TX
320;BRASSICA OLERACEA VAR. CAPITATA F. ALBA;TX
321;BRASSICA OLERACEA VAR. CAPITATA "F. RUBRA";TX
322;BRASSICA OLERACEA VAR. BOTRYTIS;TX
324;BRASSICA OLERACEA VAR. ITALICA;TX
326;BRASSICA OLERACEA VAR. SABELLICA;TX
327;BRASSICA OLERACEA VAR. GEMMIFERA;TX
329;BRASSICA OLERACEA VAR. GONGYLODES;TX
330;LACTUCA SATIVA VAR. CRISPA;TX
331;LACTUCA SATIVA VAR. CAPITATA;TX
333;PETROSELINUM CRISPUM;TX
334;URTICA DIOICA;TX
335;ALLIUM CEPA;TX
336;ALLIUM CEPA;TX
337;ALLIUM PORRUM;TX
338;RHEUM;TX
339;APIUM GRAVEOLENS;TX
340;ASPARAGUS OFFICINALIS L.;TX
342;BOLETUS EDULIS, RUSSULA PALUDOSA;TX
343;LACTARIUS (TRIVIALIS/RUFUS/TORMINUSUS);TX
345;AGARICUS BISPORUS;TX
346;CUCUMIS SATIVUS;TX
347;CUCUMIS SATIVUS;TX
348;CUCUMIS SATIVUS;TX
350;CUCURBITA PEPO;TX
351;CUCURBITA PEPO;TX
352;LYCOPERSICON ESCULENTUM;TX
355;CAPSICUM ANNUUM;TX
359;BRASSICA PEKINENSIS;TX
360;BETA VULGARIS VAR. VULGARIS;TX
362;SOLANUM MELONGENA;TX
363;ZEA MAYS;TX
364;LEPIDIUM SATIVUM;TX
367;CANTHARELLUS CIBARIUS;TX
368;GYROMITRA ESCULENTA;TX
369;ANETHUM GRAVEOLENS;TX
370;PISUM SATIVUM;TX
371;PISUM SATIVUM;TX
372;PHASEOLUS VULGARIS;TX
373;PHASEOLUS VULGARIS L;TX
375;CORYLUS AVELLANA;TX
376;JUGLANS REGIA;TX
377;CASTANEA SATIVA;TX
378;ARACHIS HYPOGAEA;TX
379;PRUNUS AMYGDALUS;TX
380;GLYSINE MAX;TX
381;GLYSINE MAX;TX
382;COCOS NUCIFERA;TX
383;ARACHIS HYPOGAEA;TX
384;MEDICAGO SATIVA, VIGNA MUNGO;TX
385;SESAMUM INDICUM;TX
386;CAPSICUM ANNUUM;TX
387;CAPSICUM ANNUUM;TX
388;CAPSICUM ANNUUM;TX
389;CUCURBITA PEPO;TX
390;LYCOPERSICON ESCULENTUM;TX
391;GLYSINE MAX;TX
392;ALLIUM SCHOENOPRASUM;TX
393;ALLIUM SATIVUM;TX
394;CUCUMIS SATIVUS;TX
395;PHASEOLUS VULGARIS;TX
398;LYCOPERSICON ESCULENTUM;TX
399;LENS CULINARIS;TX
401;MALUS;TX
408;PRUNUS ARMENIACA;TX
409;PRUNUS ARMENIACA;TX
411;PRUNUS PERSICA;TX
412;PRUNUS PERSICA;TX
417;ANANAS COMOSUS;TX
423;VITIS VINIFERA L.;TX
428;VITIS VINIFERA;TX
431;OLEA EUROPAEA SATIVA;TX
433;MALUS;TX
434;CITRUS SINENSIS;TX
435;CITRUS PARADISI;TX
437;CITRUS LIMON;TX
438;ANANAS COMOSUS;TX
440;VACCINIUM VITIS-IDAEA;TX
441;VACCINIUM OXYCOCCOS, V. MACROCARPON;TX
442;VACCINIUM MYRTILLUS;TX
444;RIBES NIGRUM;TX
445;RIBES RUBRUM RIBES*PALLIDUM;TX
446;RIBES UVA-CRISPA;TX
447;FRAGARIA ANANASSA;TX
448;RUBUS IDAEUS;TX
449;RUBUS CHAMAEMORUS;TX
452;RIBES NIGRUM;TX
455;HIPPOPHAE RHAMNOIDES;TX
457;SORBUS AUCUPARIA;TX
459;VACCINIUM VITIS-IDAEA;TX
462;RIBES NIGRUM;TX
471;ANANAS COMOSUS;TX
472;MALUS;TX
477;CUCUMIS MELO VAR. CANTALUPENSIS/RETICULATA;TX
536;OLEA EUROPAEA SATIVA;TX
800;CLUPEA HARENGUS MEMBRAS;TX
801;CLUPEA HARENGUS MEMBRAS;TX
802;CLUPEA HARENGUS MEMBRAS;TX
803;CLUPEA HARENGUS HARENGUS;TX
804;GADUS MORHUA;TX
805;STIZOSTEDION LUCIOPERCA;TX
806;SEBASTES MARINUS;TX
807;HIPPOGLOSSUS HIPPOGLOSSUS;TX
809;COREGONUS ALBULA;TX
810;COREGONUS ALBULA;TX
811;COREGONUS ALBULA;TX
812;PERCA FLUVIATILIS;TX
813;ESOX LUCIUS;TX
814;ABRAMIS BRAMA;TX
815;COREGONUS LAVARETUS;TX
816;COREGONUS LAVARETUS;TX
817;SALMO SALAR;TX
818;SALMO SALAR;TX
819;LOTA LOTA;TX
820;PLATICHTHYS FLESUS;TX
821;ANGUILLA ANGUILLA;TX
822;ONCORHYNCHUS MYKISS;TX
823;SALMO TRUTTA;TX
825;LAMPETRA FLUVIATILIS;TX
826;POLLACHIUS VIRENS;TX
828;THUNNUS ALALUNGA;TX
829;ENGRAULIS ENCRACIOLUS;TX
830;SALMO SALAR;TX
831;SARDINA PILCHARDUS;TX
832;ACIPENSER STURIO;TX
834;MYTILUS EDULIS;TX
835;PANDALUS;TX
836;ASTACUS;TX
837;CLUPEA HARENGUS HARENGUS;TX
838;CLUPEA HARENGUS MEMBRAS;TX
844;ABRAMIS BRAMA;TX
845;RUTILUS RUTILUS;TX
846;SEBASTES MARINUS;TX
848;ONCORHYNCHUS MYKISS;TX
859;CLUPEA HARENGUS HARENGUS;TX
860;CLUPEA HARENGUS MEMBRAS;TX
862;THUNNUS THYNNUS;TX
863;OSTREA EDULIS;TX
864;HELIX SPP.;TX
865;OCTOPUS SPP.;TX
866;HOMARUS VULGARIS;TX
870;ONCORHYNCHUS MYKISS;TX
871;SALMO SALAR;TX
3334;AGARICUS BISPORUS;TX
3368;GYROMITRA ESCULENTA;TX
3799;CUCURBITA PEPO;TX
3800;CUCURBITA PEPO;TX
3801;SOLANUM MELONGENA;TX
4421;VACCINIUM VITIS-IDAEA;TX
8098;PLATICHTHYS FLESUS;TX
11007;ROSA RUGOSA;TX
11012;FRAGARIA ANANASSA;TX
11013;CITRUS SINENSIS;TX
11014;ELAEIS GUINEENSIS;TX
11030;SECALE CEREALE;TX
11045;CITRUS SINENSIS;TX
11046;CITRUS RETICULATA;TX
11047;CITRUS PARADISI;TX
11048;CITRUS LIMON;TX
11049;MUSA SAPIENTUM;TX
11050;ACTINIDIA CHINENSIS;TX
11051;PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA;TX
11052;PRUNUS AVIUM L., PRUNUS CERASUS L.;TX
11053;PRUNUS DOMESTICA;TX
11054;PRUNUS ARMENIACA;TX
11055;CITRULLUS LANATUS;TX
11056;ANANAS COMOSUS;TX
11057;PERSEA AMERICANA;TX
11059;THUNNUS ALALUNGA;TX
11060;MALUS DOMESTICA;TX
11061;MALUS;TX
11062;PYRUS COMMUNIS;TX
11063;PRUNUS DOMESTICA;TX
11064;AGARICUS BISPORUS;TX
11065;ROSA RUGOSA;TX
11067;THUNNUS ALALUNGA;TX
11071;MANGIFERA INDICA, CARICA PAPAYA;TX
11074;MEDICAGO SATIVA;TX
11086;ANACARDIUM OCCIDENTALE;TX
11089;CICER ARIETINUM;TX
11090;PHASEOLUS VULGARIS;TX
11134;OCIMUM BASILICUM;TX
11135;PHYLLOSTACHYS SPP.;TX
11177;PIPER NIGRUM;TX
11178;PIPER NIGRUM;TX
11182;CAPSICUM ANNUUM;TX
11184;CINNAMOMUM VERUM, C. AROMATICUM;TX
11185;SYZYGIUM AROMATICUM;TX
11186;ZINGIBER OFFICINALE;TX
11187;ELETTARIA CARDAMOMUM;TX
11191;ORIGANUM VULGARE;TX
11194;THYMUS VULGARIS;TX
11203;CUCUMIS MELO;TX
11212;HELIANTHUS ANNUUS;TX
11503;VITIS VINIFERA;TX
11505;MUSA SAPIENTUM;TX
11511;SOLANUM TUBEROSUM;TX
11521;ORYZA SATIVA;TX
11557;CITRUS LIMON;TX
11558;CITRUS SINENSIS;TX
11587;ROSA;TX
11589;ARMORACIA;TX
11680;SOLANUM TUBEROSUM;TX
11689;ASPARAGUS OFFICINALIS L.;TX
11701;ELAEIS GUINEENSIS;TX
11734;LENTINULA EDODES;TX
11735;PLEUROTUS OSTREATUS;TX
28905;TRITICUM DURUM DESF.;TX
28908;HORDEUM VULGARE;TX
28910;ORYZA SATIVA;TX
28911;ORYZA SATIVA;TX
28913;SOLANUM TUBEROSUM;TX
28914;SOLANUM TUBEROSUM;TX
28915;CUCUMIS MELO L. VAR. RETUCULATA/CANTALUPENSIS;TX
28916;MALUS;TX
28917;PYRUS COMMUNIS;TX
28918;PRUNUS DOMESTICA;TX
28919;PRUNUS DOMESTICA;TX
28920;PRUNUS AVIUM, PRUNUS CERASUS;TX
28921;PRUNUS ARMENIACA;TX
28922;PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA;TX
28923;ANANAS COMOSUS;TX
28924;CITRUS SINENSIS;TX
28925;CITRUS LIMON;TX
28926;CITRUS PARADISI;TX
28931;CITRULLUS VULGARIS/LANATUS;TX
28932;VITIS VINIFERA L.;TX
28933;PERSEA AMERICANA;TX
28934;MUSA SAPIENTUM;TX
28935;CITRUS RETICULATA;TX
28936;FICUS CARICA;TX
28937;PHOENIX DACTYLIFERA;TX
28938;OLEA EUROPAEA SATIVA;TX
28939;ACTINIDIA CHINENSIS;TX
28941;MALUS DOMESTICA;TX
28942;MALUS;TX
28944;CUCUMIS MELO;TX
28962;ZEA MAYS;TX
29150;VACCINIUM VITIS-IDAEA;TX
29155;THEOBROMA CACAO;TX
29207;CLUPEA HARENGUS MEMBRAS;TX
29217;LACTARIUS RUFUS;TX
29410;BOLETUS EDULIS;TX
29411;BOLETUS EDULIS;TX
29510;PASTINACA SATIVA;TX
29511;APIUM GRAVEOLENS VAR. RAPACEUM;TX
29782;TRITICUM SPP.;TX
29822;ZEA MAYS;TX
29823;ZEA MAYS;TX
30104;MANIHOT ESCULENTA;TX
30190;AVENA SATIVA;TX
30214;ELEOCHARIS DULCIS;TX
30223;LPOMOEA BATATAS;TX
30348;ORYZA SATIVA;TX
30601;LPOMOEA BATATAS;TX
30602;LPOMOEA BATATAS;TX
30603;LPOMOEA BATATAS;TX
30914;FOENICULUM VULGARE VAR. AZORICUM;TX
30968;PINUS SPP.;TX
30991;LINUM USITATISSIMUS;TX
31175;CHENOPODIUM QUINOA WILLD;TX
31211;CUCURBITA PEPO;TX
31212;PISTACIA VERA;TX
31213;VIGNA RADIATA;TX
31214;PHASEOLUS VULGARIS L.;TX
31216;VIGNA ANGULARIS;TX
31217;VIGNA ANGULARIS;TX
31218;CICER ARIETINUM;TX
31219;LENS CULINARIS;TX
31225;LENS CULINARIS;TX
31226;TRITICUM SPELTA;TX
31233;VICIA FABA;TX
31237;AMARANTHUS HYPOCHONDRIACUS;TX
31238;CERATONIA SILIQUA;TX
31495;LINUM USITATISSIMUM;TX
31555;PUNICA GRANATUM;TX
31681;PLANTAGO;TX
32182;VACCINIUM MYRTILLUS;TX
32202;PANDALUS;TX
32455;CITRUS PARADISI;TX
33060;CARICA PAPAYA;TX
33065;MANGIFERA INDICA;TX
33067;MANGIFERA INDICA, CARICA PAPAYA;TX
33095;CARYA ILLINOINENSIS;TX
33121;CANNABIS SATIVA;TX
33130;ANACARDIUM OCCIDENTALE;TX
33131;PISTACIA VERA;TX
33170;PANGASIUS HYPOPHTHALMUS;TX
33171;MACRURONUS NOVAEZELANDIAE;TX
33211;OREOCHROMIS NILOTICUS;TX
33251;OREOCHROMIS NILOTICUS;TX
33311;MACRURONUS NOVAEZELANDIAE;TX
33382;SALMO SALAR;TX
33408;COREGONUS LAVARETUS;TX
33409;ONCORHYNCHUS MYKISS;TX
33414;ONCORHYNCHUS MYKISS;TX
33419;ONCORHYNCHUS MYKISS;TX
33420;ONCORHYNCHUS MYKISS;TX
33433;OCIMUM BASILICUM;TX
33436;ROSA RUGOSA;TX
33456;SPINACIA OLERACEA;TX
33482;AGARICUS BISPORUS;TX
33494;CAPSICUM ANNUUM;TX
33499;GLYSINE MAX;TX
33501;GLYCINE MAX;TX
33559;FRAGARIA ANANASSA;TX
33757;CITRUS SINENSIS;TX
33893;GLYSINE MAX;TX
33928;MALUS;TX
34136;PORPHYRA SPP.;TX
34137;UNDARIA SPP.;TX
34159;ERUCA SATIVA;TX
34228;SPINACIA OLERACEA;TX
34229;PISUM SATIVUM;TX
34230;DIPLOTAXIS MURALIS;TX
34231;LACTICA SATIVA;TX
34232;CICHORIUM INTYBUS VAR. FOLIOSUM;TX
34233;LACTUCA SATIVA VAR. LONGIFOLIA;TX
34234;ALLIUM CEPA;TX
34235;RAPHANUS SATIVUS VAR. LONGIPINNATUS;TX
34236;PISUM SATIVUM;TX
34237;VALERIANELLE LOCUSTA;TX
34238;CORIANDRUM SATIVUM;TX
34239;LACTARIUS TRIVIALIS;TX
34240;CANTHARELLUS TUBAEFORMIS;TX
34241;LACTARIUS TORMINOSUS;TX
34242;TRITICUM AESTIVUM;TX
34243;VICIA FABA;TX
34244;PISUM SATIVUM VAR. MACROCARPON;TX
34245;SESAMUM INDICUM;TX
34246;SECALE CEREALE;TX
34247;SECALE CEREALE;TX
34248;HARDEUM VULGARE;TX
34249;TRITICUM AESTIVUM;TX
34252;COREGONUS LAVARETUS;TX
34253;CLUPEA HARENGUS HARENGUS;TX
34254;LAMINARIA SPP.;TX
34255;SALMO SALAR;TX
34256;ONCORHYNCHUS MYKISS;TX
34361;MANGIFERA INDICA;TX
34380;PHASEOLUS VULGARIS;TX
34694;CARICA PAPAYA;TX
34743;VICIA FABA;TX
34847;SALVIA HISPANICA;TX
34848;SPRATTUS SPRATTUS;TX
34971;AVENA SATIVA;TX
34972;OLEA EUROPAEA SATIVA;TX
35220;CANNABIS SATIVA;TX
35221;PAPAVER SOMNIFERUM;TX
35513;LINUM USITATISSIMUS;TX
35580;VACCINIUM OXYCOCCOS;TX
35581;SUILLUS VARIEGATUS;TX
35582;ALBATRELLUS OVINUS;TX
35583;LECCINUM SPP.;TX
35584;PICEA ABIES;TX
35585;EPILOBIUM ANGUSTIFOLIUM;TX
35586;TARAXACUM SPP.;TX
35587;TARAXACUM SPP.;TX
35588;AEGOPODIUM PODAGRARIA;TX
35589;RIBES NIGRUM;TX
35591;VACCINIUM ULIGINOSUM;TX
35592;ARONIA MITSCHURINII;TX
35593;ARONIA MITSCHURINII;TX
35595;RIBES NIGRUM;TX
35596;VACCINIUM CORYMBOSUM;TX
35597;SORBUS AUCUPARIA;TX
35599;VACCINIUM VITIS-IDAEA;TX
35600;HIPPOPHAE RHAMNOIDES;TX
35601;HIPPOPHAE RHAMNOIDES;TX
35602;EMPETRUM NIGRUM;TX
35606;ANGELICA ARCHANGELICA SSP. ARCHANGELICA;TX
35607;ACHILLEA MILLEFOLIUM;TX
35608;CRATERELLUS CORNUCOPIOIDES;TX
35615;JUNIPERUS COMMUNIS;TX
35616;URTICA DIOICA;TX
35619;GLYCINE MAX;TX
35623;VICIA FABA;TX
35635;PHASEOLUS VULGARIS;TX
35638;PHASEOLUS VULGARIS;TX
